Date,Ticker,Shares Bought,Buy Price,Cost Basis,PnL,Reason,Shares Sold,Sell Price
2025-08-05,UMAC,4.0,10.43,41.72,0.0,MANUAL BUY - New position,,
2025-08-05,AZTR,265.0,0.18,47.7,0.0,MANUAL BUY - New position,,
2025-08-05,UMAC,4.0,10.5,42.0,0.0,MANUAL BUY - New position,,
2025-08-05,ZENA,6.0,5.09,30.54,0.0,MANUAL BUY - New position,,
2025-08-05,AZTR,200.0,0.18,36.0,0.0,MANUAL BUY - New position,,
2025-08-12,AZTR,,,83.7,-13.391999999999996,MANUAL SELL - ,465.0,0.1512
2025-08-12,UMAC,,,31.29,-0.990000000000002,MANUAL SELL - ,3.0,10.1
2025-08-12,ZENA,,,5.09,0.3799999999999999,MANUAL SELL - ,1.0,5.47
2025-08-12,APYX,33.0,2.24,73.92,0.0,MANUAL BUY - New position,,
2025-08-12,KLTR,20.0,1.61,32.2,0.0,MANUAL BUY - New position,,
2025-08-12,APYX,7.0,2.23,15.61,0.0,MANUAL BUY - New position,,
2025-08-12,LUNG,4.0,1.57,6.28,0.0,MANUAL BUY - New position,,
